Gene stable ID,length
ENSMUSG00000073257,865
ENSMUSG00000098781,867
ENSMUSG00000034295,18274
ENSMUSG00000021366,11346
ENSMUSG00000039956,3428
ENSMUSG00000094103,3858
ENSMUSG00000025078,9138
ENSMUSG00000073131,16139
ENSMUSG00000039929,12147
ENSMUSG00000021276,10484
ENSMUSG00000021367,2134
ENSMUSG00000035283,3442
ENSMUSG00000073255,1486
ENSMUSG00000069307,3264
ENSMUSG00000035173,12362
ENSMUSG00000094248,479
ENSMUSG00000069306,401
ENSMUSG00000069305,429
ENSMUSG00000094777,481
ENSMUSG00000069303,3448
ENSMUSG00000041380,21729
ENSMUSG00000004789,16751
ENSMUSG00000024855,13363
ENSMUSG00000021662,23168
ENSMUSG00000018830,20813
ENSMUSG00000056537,16618
ENSMUSG00000036061,15736
ENSMUSG00000068114,11240
ENSMUSG00000073130,4960
ENSMUSG00000094759,1529
ENSMUSG00000079108,5928
ENSMUSG00000024575,6823
ENSMUSG00000024853,11575
ENSMUSG00000022155,9840
ENSMUSG00000033361,9672
ENSMUSG00000046449,27566
ENSMUSG00000036523,32615
ENSMUSG00000024269,7569
ENSMUSG00000053593,2797
ENSMUSG00000031289,3792
ENSMUSG00000033871,7325
ENSMUSG00000009575,13967
ENSMUSG00000047658,2418
ENSMUSG00000038498,3704
ENSMUSG00000005864,3423
ENSMUSG00000024846,4751
ENSMUSG00000079105,2658
ENSMUSG00000033343,947
ENSMUSG00000118459,1907
ENSMUSG00000006720,12323
ENSMUSG00000041849,6686
ENSMUSG00000024268,19850
ENSMUSG00000031333,6241
ENSMUSG00000041841,3769
ENSMUSG00000025081,19932
ENSMUSG00000016982,4900
ENSMUSG00000050697,9255
ENSMUSG00000006179,7831
ENSMUSG00000021022,6694
ENSMUSG00000094601,1723
ENSMUSG00000099711,1942
ENSMUSG00000019235,8311
ENSMUSG00000073016,2297
ENSMUSG00000022463,15769
ENSMUSG00000069302,404
ENSMUSG00000022677,9438
ENSMUSG00000031340,6805
ENSMUSG00000062727,475
ENSMUSG00000060639,726
ENSMUSG00000069301,484
ENSMUSG00000069300,462
ENSMUSG00000118409,1907
ENSMUSG00000069299,17768
ENSMUSG00000101500,1907
ENSMUSG00000099611,7608
ENSMUSG00000057469,12713
ENSMUSG00000043453,1817
ENSMUSG00000039903,16475
ENSMUSG00000095916,13840
ENSMUSG00000101294,1916
ENSMUSG00000099787,5767
ENSMUSG00000033906,5497
ENSMUSG00000046932,20875
ENSMUSG00000004791,5553
ENSMUSG00000069297,890
ENSMUSG00000069296,4140
ENSMUSG00000069295,23643
ENSMUSG00000095934,1700
ENSMUSG00000021275,27281
ENSMUSG00000078324,1700
ENSMUSG00000022369,10549
ENSMUSG00000031224,2315
ENSMUSG00000096915,1496
ENSMUSG00000054728,27021
ENSMUSG00000118429,1928
ENSMUSG00000095659,1700
ENSMUSG00000118438,1928
ENSMUSG00000022972,4858
ENSMUSG00000031343,6017
ENSMUSG00000022790,7668
ENSMUSG00000004788,5924
ENSMUSG00000033628,12387
ENSMUSG00000073247,915
ENSMUSG00000024844,3483
ENSMUSG00000061080,23809
ENSMUSG00000024841,3851
ENSMUSG00000021023,12755
ENSMUSG00000025082,4035
ENSMUSG00000073245,1550
ENSMUSG00000069294,11375
ENSMUSG00000096883,3403
ENSMUSG00000060429,6732
ENSMUSG00000095125,19340
ENSMUSG00000047261,2175
ENSMUSG00000069292,17870
ENSMUSG00000031290,20466
ENSMUSG00000101073,23637
ENSMUSG00000068617,6713
ENSMUSG00000022151,6199
ENSMUSG00000039148,7602
ENSMUSG00000021245,21033
ENSMUSG00000094898,10409
ENSMUSG00000094379,6347
ENSMUSG00000069289,17371
ENSMUSG00000094637,3842
ENSMUSG00000100296,1100
ENSMUSG00000101578,5102
ENSMUSG00000068105,4993
ENSMUSG00000084136,9650
ENSMUSG00000071493,4080
ENSMUSG00000039330,2201
ENSMUSG00000022973,33644
ENSMUSG00000071491,13942
ENSMUSG00000022367,4233
ENSMUSG00000061296,7531
ENSMUSG00000057455,6881
ENSMUSG00000024914,7753
ENSMUSG00000021368,10458
ENSMUSG00000008822,2454
ENSMUSG00000024578,2278
ENSMUSG00000046434,9543
ENSMUSG00000024579,3562
ENSMUSG00000020580,19307
ENSMUSG00000024580,8479
ENSMUSG00000031226,7139
ENSMUSG00000033032,9193
ENSMUSG00000047423,3053
ENSMUSG00000024912,2708
ENSMUSG00000063998,6427
ENSMUSG00000064063,599
ENSMUSG00000095098,8877
ENSMUSG00000071490,1163
ENSMUSG00000031227,3549
ENSMUSG00000051335,7365
ENSMUSG00000025083,15305
ENSMUSG00000095872,3363
ENSMUSG00000039942,10338
ENSMUSG00000032735,8672
ENSMUSG00000072931,2022
ENSMUSG00000060024,14003
ENSMUSG00000061829,9020
ENSMUSG00000022674,10433
ENSMUSG00000031230,1642
ENSMUSG00000099917,3835
ENSMUSG00000115697,26491
ENSMUSG00000072930,2021
ENSMUSG00000116057,1058
ENSMUSG00000115791,20547
ENSMUSG00000022366,4946
ENSMUSG00000115020,49296
ENSMUSG00000061376,26489
ENSMUSG00000022673,4644
ENSMUSG00000096099,36947
ENSMUSG00000031093,17901
ENSMUSG00000045064,6573
ENSMUSG00000045629,17551
ENSMUSG00000082316,6889
ENSMUSG00000058794,11755
ENSMUSG00000034290,5364
ENSMUSG00000054021,15417
ENSMUSG00000022974,11442
ENSMUSG00000068101,3812
ENSMUSG00000021248,7629
ENSMUSG00000061022,6203
ENSMUSG00000045679,11187
ENSMUSG00000069280,16887
ENSMUSG00000045730,2143
ENSMUSG00000024400,15518
ENSMUSG00000024911,14189
ENSMUSG00000034617,14069
ENSMUSG00000071757,4580
ENSMUSG00000068099,3074
ENSMUSG00000021250,4354
ENSMUSG00000022365,4019
ENSMUSG00000024910,6307
ENSMUSG00000039851,5713
ENSMUSG00000034271,5182
ENSMUSG00000060992,6258
ENSMUSG00000094885,6063
ENSMUSG00000044982,2726
ENSMUSG00000063200,5617
ENSMUSG00000026322,8493
ENSMUSG00000022708,49302
ENSMUSG00000034266,1483
ENSMUSG00000063234,1723
ENSMUSG00000034258,4060
ENSMUSG00000024909,20611
ENSMUSG00000000552,6844
ENSMUSG00000020571,7906
ENSMUSG00000094941,2015
ENSMUSG00000021532,13697
ENSMUSG00000024395,7296
ENSMUSG00000022364,17800
ENSMUSG00000095621,2021
ENSMUSG00000072923,1970
ENSMUSG00000052229,5193
ENSMUSG00000021252,5884
ENSMUSG00000021938,8081
ENSMUSG00000024388,6824
ENSMUSG00000046351,9337
ENSMUSG00000058328,5607
ENSMUSG00000020566,9367
ENSMUSG00000024906,12764
ENSMUSG00000000555,9718
ENSMUSG00000021534,2599
ENSMUSG00000055639,14643
ENSMUSG00000094378,3968
ENSMUSG00000036376,4453
ENSMUSG00000000706,5134
ENSMUSG00000024384,19919
ENSMUSG00000095082,2019
ENSMUSG00000071552,915
ENSMUSG00000021536,4186
ENSMUSG00000022672,15602
ENSMUSG00000031229,45734
ENSMUSG00000022456,26978
ENSMUSG00000056185,11375
ENSMUSG00000040123,21007
ENSMUSG00000038546,10670
ENSMUSG00000024386,7153
ENSMUSG00000061458,3000
ENSMUSG00000100937,1020
ENSMUSG00000024922,3694
ENSMUSG00000037572,15009
ENSMUSG00000049562,6545
ENSMUSG00000024383,15498
ENSMUSG00000024925,4119
ENSMUSG00000011179,8869
ENSMUSG00000021371,8091
ENSMUSG00000024382,6151
ENSMUSG00000022455,1407
ENSMUSG00000044164,3996
ENSMUSG00000024921,66951
ENSMUSG00000022453,8279
ENSMUSG00000015396,4626
ENSMUSG00000071379,2214
ENSMUSG00000053216,8761
ENSMUSG00000024381,11061
ENSMUSG00000022705,3152
ENSMUSG00000048379,7410
ENSMUSG00000073197,4965
ENSMUSG00000022671,3458
ENSMUSG00000041353,14910
ENSMUSG00000021945,13474
ENSMUSG00000049687,6371
ENSMUSG00000071637,4173
ENSMUSG00000022704,13030
ENSMUSG00000022452,3224
ENSMUSG00000006611,7345
ENSMUSG00000031232,15786
ENSMUSG00000022487,6527
ENSMUSG00000036181,1559
ENSMUSG00000069310,629
ENSMUSG00000021840,13589
ENSMUSG00000075031,507
ENSMUSG00000041974,9588
ENSMUSG00000061615,472
ENSMUSG00000069267,619
ENSMUSG00000069266,396
ENSMUSG00000060093,538
ENSMUSG00000109238,1511
ENSMUSG00000095470,335
ENSMUSG00000009470,25310
ENSMUSG00000090523,4856
ENSMUSG00000024379,2253
ENSMUSG00000050335,4984
ENSMUSG00000049792,4875
ENSMUSG00000038299,15349
ENSMUSG00000037787,5193
ENSMUSG00000041957,7786
ENSMUSG00000031231,1700
ENSMUSG00000022450,3796
ENSMUSG00000021028,2638
ENSMUSG00000022064,18584
ENSMUSG00000025269,19227
ENSMUSG00000053508,1284
ENSMUSG00000001496,5046
ENSMUSG00000022701,12294
ENSMUSG00000061740,8794
ENSMUSG00000038128,6896
ENSMUSG00000058669,1262
ENSMUSG00000001497,10695
ENSMUSG00000068085,1581
ENSMUSG00000024378,7643
ENSMUSG00000069265,533
ENSMUSG00000007817,21433
ENSMUSG00000049539,740
ENSMUSG00000022488,18995
ENSMUSG00000045022,480
ENSMUSG00000022792,8074
ENSMUSG00000064140,4915
ENSMUSG00000012609,52609
ENSMUSG00000042834,6981
ENSMUSG00000025270,4957
ENSMUSG00000036304,9739
ENSMUSG00000050919,6377
ENSMUSG00000021650,1694
ENSMUSG00000024376,12062
ENSMUSG00000022967,14271
ENSMUSG00000036110,13611
ENSMUSG00000033792,14604
ENSMUSG00000037106,9154
ENSMUSG00000005148,6197
ENSMUSG00000041632,3198
ENSMUSG00000094806,6836
ENSMUSG00000022965,6744
ENSMUSG00000072294,10621
ENSMUSG00000041482,58716
ENSMUSG00000052727,20095
ENSMUSG00000022964,3836
ENSMUSG00000042888,3960
ENSMUSG00000033777,4392
ENSMUSG00000062373,6986
ENSMUSG00000021647,2059
ENSMUSG00000062070,4295
ENSMUSG00000036292,13431
ENSMUSG00000037544,14987
ENSMUSG00000037085,4453
ENSMUSG00000038518,34409
ENSMUSG00000037075,6088
ENSMUSG00000115463,395
ENSMUSG00000047242,5878
ENSMUSG00000022150,26774
ENSMUSG00000025271,9199
ENSMUSG00000039763,8229
ENSMUSG00000052459,13128
ENSMUSG00000005705,2053
ENSMUSG00000038604,4086
ENSMUSG00000079641,1605
ENSMUSG00000073012,3642
ENSMUSG00000033083,33511
ENSMUSG00000074913,1390
ENSMUSG00000024926,14965
ENSMUSG00000005698,7879
ENSMUSG00000021646,6130
ENSMUSG00000036572,5652
ENSMUSG00000022789,20479
ENSMUSG00000031618,22713
ENSMUSG00000036083,15228
ENSMUSG00000016409,4731
ENSMUSG00000036551,1786
ENSMUSG00000035472,7549
ENSMUSG00000016427,416
ENSMUSG00000050357,8891
ENSMUSG00000036537,1222
ENSMUSG00000005871,38081
ENSMUSG00000073243,813
ENSMUSG00000034525,15908
ENSMUSG00000071773,878
ENSMUSG00000037536,22909
ENSMUSG00000051827,1521
ENSMUSG00000079104,1718
ENSMUSG00000021253,3376
ENSMUSG00000033737,8633
ENSMUSG00000031592,16339
ENSMUSG00000007867,4475
ENSMUSG00000024927,8489
ENSMUSG00000068086,8406
ENSMUSG00000021335,5010
ENSMUSG00000075486,7047
ENSMUSG00000021973,5720
ENSMUSG00000052821,6195
ENSMUSG00000047022,17573
ENSMUSG00000071772,2168
ENSMUSG00000022111,6751
ENSMUSG00000079639,2787
ENSMUSG00000022698,13916
ENSMUSG00000073010,3253
ENSMUSG00000050891,11584
ENSMUSG00000024924,24871
ENSMUSG00000014504,7228
ENSMUSG00000021974,6693
ENSMUSG00000095601,2771
ENSMUSG00000021336,14171
ENSMUSG00000094945,897
ENSMUSG00000037531,5379
ENSMUSG00000068284,26746
ENSMUSG00000037526,8026
ENSMUSG00000047686,2946
ENSMUSG00000005873,4507
ENSMUSG00000079638,795
ENSMUSG00000049929,4235
ENSMUSG00000071771,2712
ENSMUSG00000021288,17467
ENSMUSG00000050799,383
ENSMUSG00000024583,11248
ENSMUSG00000038000,9461
ENSMUSG00000060081,389
ENSMUSG00000039167,9217
ENSMUSG00000049658,25430
ENSMUSG00000022354,1157
ENSMUSG00000050921,8341
ENSMUSG00000022962,18199
ENSMUSG00000044703,1346
ENSMUSG00000022149,5602
ENSMUSG00000079637,2614
ENSMUSG00000091649,1175
ENSMUSG00000054293,10993
ENSMUSG00000027673,8010
ENSMUSG00000033060,42841
ENSMUSG00000022489,12336
ENSMUSG00000079636,2817
ENSMUSG00000079635,2748
ENSMUSG00000014503,9062
ENSMUSG00000031591,6969
ENSMUSG00000025272,27194
ENSMUSG00000054414,12897
ENSMUSG00000028037,7891
ENSMUSG00000036501,18248
ENSMUSG00000005699,7181
ENSMUSG00000038175,5005
ENSMUSG00000039146,1373
ENSMUSG00000022490,2114
ENSMUSG00000028036,8431
ENSMUSG00000035451,3601
ENSMUSG00000046782,8071
ENSMUSG00000022491,3867
ENSMUSG00000031590,1774
ENSMUSG00000049538,15358
ENSMUSG00000056900,12655
ENSMUSG00000047298,5106
ENSMUSG00000012282,1740
ENSMUSG00000021254,12738
ENSMUSG00000022148,8862
ENSMUSG00000041360,16830
ENSMUSG00000035984,2863
ENSMUSG00000013155,7847
ENSMUSG00000013158,2875
ENSMUSG00000068245,8012
ENSMUSG00000095698,681
ENSMUSG00000049357,4561
ENSMUSG00000079633,2738
ENSMUSG00000037148,7520
ENSMUSG00000040560,23457
ENSMUSG00000073008,22871
ENSMUSG00000021287,7675
ENSMUSG00000027963,10039
ENSMUSG00000022353,22373
ENSMUSG00000021337,2108
ENSMUSG00000022696,13175
ENSMUSG00000096788,1525
ENSMUSG00000091144,3449
ENSMUSG00000020986,8334
ENSMUSG00000031239,1738
ENSMUSG00000071350,8894
ENSMUSG00000040929,30913
ENSMUSG00000021643,2679
ENSMUSG00000039131,7468
ENSMUSG00000059626,2820
ENSMUSG00000071770,2797
ENSMUSG00000060121,4169
ENSMUSG00000095741,1281
ENSMUSG00000000253,3442
ENSMUSG00000095510,2961
ENSMUSG00000022351,11094
ENSMUSG00000079630,2789
ENSMUSG00000021255,14996
ENSMUSG00000028035,13796
ENSMUSG00000080933,986
ENSMUSG00000060969,3683
ENSMUSG00000079629,1278
ENSMUSG00000031651,4335
ENSMUSG00000031241,13510
ENSMUSG00000021645,4973
ENSMUSG00000041852,16452
ENSMUSG00000013150,5840
ENSMUSG00000027962,10820
ENSMUSG00000021981,9415
ENSMUSG00000091490,8219
ENSMUSG00000043065,10743
ENSMUSG00000001504,5062
ENSMUSG00000050310,21642
ENSMUSG00000079628,2814
ENSMUSG00000021286,5680
ENSMUSG00000037134,12644
ENSMUSG00000046876,22694
ENSMUSG00000031242,6781
ENSMUSG00000068696,4072
ENSMUSG00000033502,22774
ENSMUSG00000071769,2176
ENSMUSG00000021982,14231
ENSMUSG00000025085,56074
ENSMUSG00000071550,19027
ENSMUSG00000079627,1268
ENSMUSG00000051176,5340
ENSMUSG00000073007,7149
ENSMUSG00000063900,2474
ENSMUSG00000021604,4961
ENSMUSG00000037415,12011
ENSMUSG00000056812,16676
ENSMUSG00000063529,1358
ENSMUSG00000021256,2592
ENSMUSG00000073006,2126
ENSMUSG00000038132,4929
ENSMUSG00000025268,14721
ENSMUSG00000044461,3711
ENSMUSG00000045991,16232
ENSMUSG00000020993,8123
ENSMUSG00000021606,2356
ENSMUSG00000021983,17186
ENSMUSG00000022961,56866
ENSMUSG00000003778,25438
ENSMUSG00000021607,2313
ENSMUSG00000048516,2487
ENSMUSG00000098207,1199
ENSMUSG00000027784,11348
ENSMUSG00000050190,2325
ENSMUSG00000079058,4913
ENSMUSG00000021373,8881
ENSMUSG00000031617,3812
ENSMUSG00000021257,6675
ENSMUSG00000043300,2025
ENSMUSG00000027787,13609
ENSMUSG00000022350,6603
ENSMUSG00000021285,8785
ENSMUSG00000031893,4485
ENSMUSG00000069237,4065
ENSMUSG00000024135,8448
ENSMUSG00000063895,3586
ENSMUSG00000078945,13842
ENSMUSG00000114797,18136
ENSMUSG00000020994,7422
ENSMUSG00000063663,25785
ENSMUSG00000031616,6759
ENSMUSG00000022687,4432
ENSMUSG00000071267,7195
ENSMUSG00000036672,11373
ENSMUSG00000053347,5664
ENSMUSG00000059114,6150
ENSMUSG00000027674,33881
ENSMUSG00000063383,2867
ENSMUSG00000034168,4097
ENSMUSG00000096433,4877
ENSMUSG00000021290,2274
ENSMUSG00000117284,3468
ENSMUSG00000059586,4835
ENSMUSG00000036442,1818
ENSMUSG00000033972,2778
ENSMUSG00000037101,7073
ENSMUSG00000044501,10641
ENSMUSG00000034157,17155
ENSMUSG00000071203,5190
ENSMUSG00000022788,36310
ENSMUSG00000071266,8326
ENSMUSG00000032501,7406
ENSMUSG00000025266,12675
ENSMUSG00000031688,3202
